class_label,class_short,continent5,oasis_count,median_tmax,median_tmin,median_pr,fallback_count
BWh oases,BWh,Asia,666,5.116745697824578,5.016329629080635,0.0248831138014793,68
BWh oases,BWh,Africa,891,4.814628756776147,4.88971710205078,-0.011134791187942,184
BWh oases,BWh,North America,183,4.821624755859375,4.371261596679688,0.0292214360088109,20
BWh oases,BWh,South America,47,3.884323120117188,3.9962616,0.0559190697968006,6
BWh oases,BWh,Oceania,35,4.107438739977386,4.142615182059152,-0.0166100240977747,2
BWk oases,BWk,Asia,536,5.428325651611328,5.286033630371094,0.0858241586933866,121
BWk oases,BWk,Africa,66,5.618087884277344,4.831031799316406,-0.1888859740073647,24
BWk oases,BWk,North America,101,5.110946655273438,4.453598022460938,0.1071632419294898,15
BWk oases,BWk,South America,39,4.312789916992188,4.093811,0.0167813226580619,4
BWh/BWk oases,BWh/BWk,Asia,36,5.336975210377851,4.894209269988231,0.0417885484831773,1
BWh/BWk oases,BWh/BWk,Africa,47,5.384345103118378,4.836548,-0.1966437628635993,6
BWh/BWk oases,BWh/BWk,North America,19,4.998447818978751,4.41128606963576,0.0411430745181779,0
BWh/BWk oases,BWh/BWk,South America,29,4.016154855921648,4.05316162109375,0.0137433186173439,0
non-BW oases,non-BW,Asia,349,5.521930528723675,5.03533935546875,0.0726615749299526,66
non-BW oases,non-BW,Africa,92,5.515602111816406,4.810585021972656,-0.2400265238606012,25
non-BW oases,non-BW,North America,288,5.138871605945676,4.5800934,0.1358981952071189,30
non-BW oases,non-BW,South America,8,4.331039428710938,3.808586120605469,0.0353965051472186,0
non-BW oases,non-BW,Oceania,5,3.548858642578125,3.629898071289064,-0.0412284322082996,0
